"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","38119"," ","2","48374","","","","","","",""
"questionnairePartA","","53417","{""Q0"":3,""Q1"":1,""Q2"":4,""Q3"":2,""Q4"":0,""Q5"":1,""Q6"":3,""Q7"":2,""Q8"":1,""Q9"":2}","3","101794","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1547","j","6","112740","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","1244","j","8","114242","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","739","f","10","115236","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","702","f","12","116202","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1013","j","14","117482","","corn","healthy","healthy","unhealthy","healthy","true"
"iat","","700","f","16","118445","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1660","f","18","120370","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","932","f","20","121562","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","799","j","22","122625","","fish","healthy","healthy","unhealthy","healthy","true"
"iat","","553","j","24","123438","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","576","f","26","124281","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","692","f","28","125226","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","2727","j","30","128214","","fast","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","459","j","32","128929","","fast","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","558","j","34","129742","","clean","healthy","healthy","unhealthy","healthy","true"
"iat","","752","j","36","130747","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","496","j","38","131499","","clean","healthy","healthy","unhealthy","healthy","true"
"iat","","627","f","40","132398","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","569","j","42","133231","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","565","j","44","134050","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","604","f","46","134908","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","766","j","48","135927","","apple","healthy","healthy","unhealthy","healthy","true"
"iat","","1838","j","50","138030","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","630","f","52","138925","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","524","f","54","139716","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","643","f","56","140615","","salty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","673","j","58","141554","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","506","f","60","142326","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","569","f","62","143156","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","733","j","64","144145","","corn","healthy","healthy","unhealthy","healthy","true"
"iat","","1175","j","66","145579","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","611","j","68","146449","","fish","healthy","healthy","unhealthy","healthy","true"
"iat","","1552","j","70","148267","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","566","j","72","149089","","apple","healthy","healthy","unhealthy","healthy","true"
"iat","","1286","f","74","150637","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1080","f","76","151983","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","3876","j","79","160766","","weight","fat","fat","fat","fit","false"
"iat","","661","j","81","161682","","lean","fit","fit","fat","fit","true"
"iat","","560","j","83","162506","","muscle","fit","fit","fat","fit","true"
"iat","","820","f","85","163593","","plump","fat","fat","fat","fit","true"
"iat","","779","f","87","164644","","obese","fat","fat","fat","fit","true"
"iat","","2138","f","89","167051","","chubby","fat","fat","fat","fit","true"
"iat","","644","f","91","167959","","stout","fat","fat","fat","fit","true"
"iat","","868","f","93","169080","","full","fat","fat","fat","fit","true"
"iat","","574","j","95","169909","","small","fit","fit","fat","fit","true"
"iat","","600","f","97","170774","","full","fat","fat","fat","fit","true"
"iat","","574","f","99","171613","","thick","fat","fat","fat","fit","true"
"iat","","599","f","101","172482","","fat","fat","fat","fat","fit","true"
"iat","","1581","j","103","174335","","thin","fit","fit","fat","fit","true"
"iat","","440","j","105","175031","","skinny","fit","fit","fat","fit","true"
"iat","","1546","j","107","176833","","tight","fit","fit","fat","fit","true"
"iat","","1943","f","109","179034","","stout","fat","fat","fat","fit","true"
"iat","","625","f","111","179927","","heavy","fat","fat","fat","fit","true"
"iat","","551","j","113","180744","","skinny","fit","fit","fat","fit","true"
"iat","","697","f","115","181705","","gaunt","fit","fit","fat","fit","false"
"iat","","885","j","117","182844","","fit","fit","fit","fat","fit","true"
"iat","","1703","f","119","184807","","plump","fat","fat","fat","fit","true"
"iat","","581","j","121","185643","","lean","fit","fit","fat","fit","true"
"iat","","550","j","123","186451","","light","fit","fit","fat","fit","true"
"iat","","573","j","125","187289","","small","fit","fit","fat","fit","true"
"iat","","389","j","127","187946","","light","fit","fit","fat","fit","true"
"iat","","532","f","129","188732","","heavy","fat","fat","fat","fit","true"
"iat","","582","j","131","189573","","muscle","fit","fit","fat","fit","true"
"iat","","1380","j","133","191208","","thin","fit","fit","fat","fit","true"
"iat","","653","f","135","192128","","flabby","fat","fat","fat","fit","true"
"iat","","2355","j","137","194737","","slim","fit","fit","fat","fit","true"
"iat","","530","f","139","195522","","chubby","fat","fat","fat","fit","true"
"iat","","562","f","141","196349","","flabby","fat","fat","fat","fit","true"
"iat","","2278","j","143","198883","","thick","fat","fat","fat","fit","false"
"iat","","1153","j","145","200302","","tight","fit","fit","fat","fit","true"
"iat","","657","j","147","201227","","weight","fat","fat","fat","fit","false"
"iat","","594","j","149","202083","","fit","fit","fit","fat","fit","true"
"iat","","2257","j","152","208929","","lean","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","1048","f","154","210244","","chips","unhealthy","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","3392","f","156","213901","","stout","fat","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","1878","j","158","216046","","full","fat","unhealthy or fat","unhealthy or fat","healthy or fit","false"
"iat","","549","f","160","216848","","cake","unhealthy","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","604","f","162","217719","","sugar","unhealthy","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","2728","f","164","220704","","salty","unhealthy","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","602","j","166","221575","","small","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","841","j","168","222680","","thin","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","602","f","170","223549","","fast","unhealthy","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","572","f","172","224377","","fish","healthy","healthy or fit","unhealthy or fat","healthy or fit","false"
"iat","","654","j","174","225299","","fat","fat","unhealthy or fat","unhealthy or fat","healthy or fit","false"
"iat","","1373","f","176","226938","","obese","fat","unhealthy or fat","unhealthy or fat","healthy or fit","true"
"iat","","585","j","178","227777","","slim","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","606","j","180","228652","","skinny","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","557","j","182","229466","","beans","healthy","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","399","j","184","230128","","apple","healthy","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","398","j","186","230785","","tight","fit","healthy or fit","unhealthy or fat","healthy or fit","true"
"iat","","455","j","188","231503","","water","healthy","healthy or fit","unhealthy or fat","healthy or fit","true"
